2023-10-3, 22:37, 0, 0.00 mm
2023-10-3, 22:38, 0, 0.00 mm
2023-10-3, 22:39, 0, 0.00 mm
2023-10-3, 22:40, 0, 0.00 mm
2023-10-3, 22:43, 0, 0.00 mm
2023-10-3, 22:44, 0, 0.00 mm
2023-10-3, 22:45, 0, 0.00 mm
2023-10-3, 22:46, 0, 0.00 mm
2023-10-3, 22:47, 0, 0.00 mm
2023-10-3, 22:48, 0, 0.00 mm
2023-10-3, 22:49, 0, 0.00 mm
2023-10-3, 22:50, 0, 0.00 mm
2023-10-3, 22:51, 0, 0.00 mm
2023-10-3, 22:52, 2, 0.56 mm
2023-10-3, 22:53, 2, 0.56 mm
2023-10-3, 22:54, 0, 0.00 mm
2023-10-3, 22:55, 0, 0.00 mm
2023-10-3, 22:56, 0, 0.00 mm
2023-10-3, 22:57, 0, 0.00 mm
2023-10-3, 22:58, 0, 0.00 mm
2023-10-3, 22:59, 0, 0.00 mm
2023-10-3, 23:0, 0, 0.00 mm
2023-10-3, 23:1, 0, 0.00 mm
2023-10-3, 23:2, 0, 0.00 mm
2023-10-3, 23:3, 0, 0.00 mm
2023-10-3, 23:4, 0, 0.00 mm
2023-10-3, 23:5, 0, 0.00 mm
2023-10-3, 23:6, 0, 0.00 mm
2023-10-3, 23:7, 0, 0.00 mm
2023-10-3, 23:8, 0, 0.00 mm
2023-10-3, 23:9, 0, 0.00 mm
2023-10-3, 23:10, 0, 0.00 mm
2023-10-3, 23:11, 0, 0.00 mm
2023-10-3, 23:12, 0, 0.00 mm
2023-10-3, 23:13, 0, 0.00 mm
2023-10-3, 23:14, 0, 0.00 mm
2023-10-3, 23:15, 0, 0.00 mm
2023-10-3, 23:16, 0, 0.00 mm
2023-10-3, 23:17, 0, 0.00 mm
2023-10-3, 23:18, 0, 0.00 mm
2023-10-3, 23:19, 0, 0.00 mm
2023-10-3, 23:20, 0, 0.00 mm
2023-10-3, 23:21, 0, 0.00 mm
2023-10-3, 23:22, 0, 0.00 mm
2023-10-3, 23:23, 0, 0.00 mm
2023-10-3, 23:24, 0, 0.00 mm
2023-10-3, 23:25, 0, 0.00 mm
2023-10-3, 23:26, 0, 0.00 mm
2023-10-3, 23:27, 0, 0.00 mm
2023-10-3, 23:28, 0, 0.00 mm
2023-10-3, 23:29, 4, 1.12 mm
2023-10-3, 23:30, 0, 0.00 mm
